cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
38034,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38065,0,0,0,0,0,0,0,0,0,1,0,1,0,2
38432,0,0,0,0,0,0,0,2,2,0,0,1,2,1
38435,2,2,0,2,0,4,9,5,0,4,1,6,2,2
38436,1,0,0,0,0,3,0,0,0,0,0,0,0,0
38443,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38446,0,0,0,0,1,0,1,0,0,0,0,1,0,0
38479,1,0,0,0,0,0,0,0,0,0,0,0,0,2
38694,0,0,0,0,0,0,0,0,2,1,1,0,0,0
38845,2,1,0,0,0,0,0,0,0,0,0,0,0,3
38846,3,3,0,1,0,4,2,1,0,1,0,1,1,1
38850,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38852,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38876,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38890,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39223,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39247,0,0,0,0,0,0,0,0,0,0,0,0,0,3
39254,1,6,3,0,1,4,6,0,1,4,0,4,0,0
39257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39312,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39657,0,0,1,0,0,0,0,0,3,1,0,1,2,0
40050,2,1,0,0,11,7,2,14,3,3,5,5,6,0
40059,1,0,0,0,0,0,0,1,0,0,0,1,1,3
40060,0,0,0,0,0,1,0,0,0,0,0,2,0,1
40064,0,0,0,0,0,0,2,0,0,0,0,1,0,0
40065,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40105,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40393,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40445,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40447,0,0,0,0,0,2,0,1,0,0,0,0,0,1
40455,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40468,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40863,0,0,0,0,3,0,0,0,0,0,0,1,0,0
41233,4,0,0,2,0,2,0,1,0,0,0,0,0,0
41239,0,1,0,0,0,0,2,2,0,1,0,2,1,0
41240,1,3,0,0,0,0,0,0,0,1,0,0,0,0
41242,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41243,1,0,1,0,0,0,1,0,0,0,0,1,0,4
41244,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41485,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41527,0,0,1,0,1,0,1,1,0,0,0,0,1,0
41528,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41530,6,1,3,0,3,2,0,5,6,0,2,0,1,0
41552,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41554,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41558,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41583,0,0,0,0,0,0,0,0,3,0,0,0,0,0
41628,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41629,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41631,1,1,1,2,1,4,0,1,0,0,1,3,0,3
41634,0,0,0,0,0,0,0,0,0,0,0,0,0,3
41635,0,0,0,0,1,0,0,0,0,0,0,0,0,12
41636,1,0,0,0,1,1,2,1,0,1,1,1,0,0
41637,0,1,1,0,0,0,0,0,0,0,0,1,0,0
41836,2,1,6,0,3,2,0,0,28,0,4,2,2,3
41913,0,0,0,0,0,0,0,0,3,0,1,0,0,0
42024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42025,0,2,0,0,0,2,4,0,0,0,0,0,0,0
42026,1,0,0,0,0,1,11,0,0,0,0,1,0,0
42027,1,0,0,0,0,1,2,0,0,1,0,0,0,0
42261,0,0,9,0,10,2,0,1,58,2,49,9,7,4
42312,1,0,0,0,1,0,1,0,7,0,2,1,0,1
42413,2,1,0,0,0,11,0,1,0,3,0,3,3,3
42414,3,1,0,0,1,1,1,0,0,0,0,0,0,0
42442,0,0,0,0,2,0,0,0,0,0,0,0,0,0
42644,1,1,3,0,2,0,0,0,13,2,14,1,0,2
42685,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42779,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42799,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42815,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43181,0,0,0,1,0,0,1,0,0,1,0,1,0,0
43430,0,0,0,0,0,0,0,0,2,0,0,0,0,0
43453,0,0,0,0,0,0,0,0,1,0,0,0,0,1
43472,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43536,0,0,0,0,0,0,0,0,3,0,0,1,0,0
43539,0,0,2,1,5,3,0,1,128,5,34,7,4,2
43569,1,0,0,0,0,5,0,1,0,2,1,1,0,0
43597,0,0,0,0,3,0,0,0,0,0,1,0,0,0
43964,2,0,0,0,1,0,0,0,1,0,0,1,2,0
43982,0,0,0,0,26,2,0,0,0,0,0,0,0,1
43985,0,0,1,0,0,0,0,0,0,0,1,0,1,0
43996,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44248,1,0,0,0,0,0,0,2,0,0,1,0,0,0
44249,1,0,0,0,0,0,0,1,0,0,0,0,0,0
44333,0,1,0,0,0,0,1,0,0,0,0,0,1,0
44334,0,0,0,0,0,0,4,0,0,0,0,1,0,0
44344,0,1,1,1,0,1,0,0,1,0,2,0,0,0
44363,0,0,0,0,0,0,1,2,1,0,0,1,1,0
44368,0,0,0,0,0,1,0,1,0,0,2,0,2,1
44373,1,0,0,0,1,0,0,1,0,1,0,3,0,0
44638,0,0,0,0,0,3,0,0,1,1,3,0,0,0
44749,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45115,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45374,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45399,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45469,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45470,0,0,1,0,0,6,0,0,29,1,4,1,0,7
45500,0,0,0,0,0,0,0,2,0,0,2,0,2,0
45527,0,0,0,0,0,0,0,0,1,0,3,1,0,0
45532,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45538,3,0,0,0,1,3,0,5,0,0,3,0,0,1
45719,0,0,0,0,0,0,0,1,7,0,0,0,0,0
45828,0,0,0,0,0,0,0,0,7,0,9,1,0,0
45853,0,0,0,0,4,1,0,0,7,0,4,2,0,0
45877,0,0,1,1,0,3,0,2,5,3,2,3,1,0
45909,1,2,0,0,0,0,1,0,0,0,0,0,0,0
45913,0,0,0,0,2,0,0,0,1,0,3,0,0,0
46270,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46296,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46304,1,0,0,0,0,0,0,1,2,0,2,0,0,0
46309,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46564,1,0,0,0,0,1,0,1,0,2,2,2,0,0
46649,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46689,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46942,1,0,1,0,4,0,0,1,12,0,3,2,1,1
46991,2,0,1,1,1,1,0,3,4,1,2,2,0,0
46994,0,0,1,0,0,0,0,0,0,1,0,0,1,1
47020,2,0,4,0,3,8,0,1,30,7,3,8,8,3
47021,1,0,0,0,0,2,0,0,4,4,3,6,2,0
47027,0,0,0,1,0,1,0,0,1,0,0,1,0,0
47028,0,1,0,0,0,1,1,0,0,0,0,1,0,0
47029,0,0,0,0,1,0,0,0,0,0,0,0,0,2
47320,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47371,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47373,0,0,0,0,1,0,0,0,0,1,0,0,0,0
47379,0,0,0,0,7,0,0,0,2,0,0,0,0,0
47383,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47400,0,0,1,0,0,0,0,0,5,0,2,3,3,0
47429,0,0,0,0,0,4,0,0,1,1,1,0,0,4
47698,1,1,3,0,1,1,3,2,3,1,6,1,2,0
47744,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47756,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47761,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47802,2,0,0,0,0,0,0,0,0,0,0,1,0,0
47803,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47899,0,0,0,0,2,0,0,0,0,0,0,0,0,0
48119,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48121,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48124,1,1,0,0,0,0,0,1,0,0,0,0,0,0
