population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
353,129097,17,18,1.52,37,0,2958,-117.699936,33.651881,la,0,1,0,0,1,1,0,0,1,8,0,1,0,0,0,0,5,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,2,2,2,1,1,1,0,3
375,129097,21,14,1.67,41,18,2959,-117.694544,33.651912,la,0,0,0,0,2,0,0,0,2,5,0,0,1,0,0,0,2,2,0.0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2
479,64615,24,146,1.69,46,0,2960,-117.689152,33.651942,la,3,0,3,0,9,9,14,0,16,73,0,0,0,0,2,2,14,1,2.0,4,4,4,4,6,6,7,13,20,38,40,43,43,42,42,44,43,33,21,16,12,7,7,6,45
605,99561,19,11,1.59,28,0,2961,-117.68376,33.651972,la,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
690,99561,16,7,0.96,39,0,2962,-117.678368,33.652002,la,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
561,133077,15,8,1.26,29,7,2963,-117.672976,33.652031,la,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
318,133077,12,6,0.87,18,0,2964,-117.667584,33.65206,la,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
558,99758,12,11,0.76,26,0,2965,-117.662192,33.652089,la,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2
444,128594,17,14,1.23,31,4,2966,-117.6568,33.652118,la,0,1,1,0,0,0,1,0,0,9,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,2
537,109737,31,29,1.66,41,10,2967,-117.651408,33.652147,la,0,0,0,0,3,5,2,0,1,12,0,0,0,0,0,4,2,0,1.5,0,0,0,0,1,1,2,2,4,15,19,21,20,20,20,20,19,16,14,10,4,1,0,0,21
1368,82461,32,23,1.42,48,5,2968,-117.646016,33.652175,la,0,0,0,0,1,1,2,0,1,13,0,0,0,0,0,2,3,0,2.0,1,1,1,1,1,1,1,1,1,2,4,5,5,5,6,6,6,6,4,4,3,2,1,1,6
829,122955,19,12,1.47,32,0,2969,-117.640624,33.652203,la,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,2
540,68836,19,13,1.07,37,0,2970,-117.635231,33.652231,la,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,68836,22,13,1.29,47,0,2971,-117.629839,33.652258,la,0,0,0,0,0,1,1,0,1,8,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
1091,124292,18,6,0.87,47,4,2972,-117.624447,33.652286,la,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,124292,14,18,0.43,47,0,2973,-117.619055,33.652313,la,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2
468,134231,12,6,1.01,49,0,2974,-117.613663,33.65234,la,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,138244,11,0,0.0,8,0,2975,-117.608271,33.652366,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,59875,18,1,0.0,21,1,2976,-117.602879,33.652393,la,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1051,120556,25,7,1.28,44,0,2977,-117.597486,33.652419,la,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
1561,65878,28,30,1.09,50,0,2978,-117.592094,33.652445,la,0,0,0,0,0,1,0,0,1,20,0,0,1,0,0,2,5,0,0.0,0,0,0,0,0,0,0,1,4,8,8,8,8,8,8,8,8,2,1,0,0,0,0,0,8
900,69205,34,87,1.82,42,130,2979,-117.586702,33.652471,la,2,0,0,1,11,8,8,0,3,40,0,0,0,0,3,3,6,2,1.67,3,3,3,3,3,5,8,14,27,38,40,42,39,38,38,38,39,25,20,16,13,7,4,3,44
948,124573,36,24,1.71,52,34,2980,-117.58131,33.652496,la,0,0,0,0,2,6,7,0,0,5,0,0,0,0,1,2,1,0,1.5,1,1,1,1,1,1,3,5,9,11,12,14,14,14,14,14,14,13,10,10,9,6,1,1,15
480,87014,17,16,1.45,43,7,2981,-117.575918,33.652521,la,0,0,1,0,0,2,1,0,1,9,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,3
455,87014,7,6,0.45,19,0,2982,-117.570526,33.652546,la,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,158370,4,6,0.69,22,0,2983,-117.565133,33.652571,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
179,158370,3,2,0.69,13,0,2984,-117.559741,33.652596,la,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,44,9,1.43,11,9,3011,-118.001926,33.654312,la,0,0,0,0,0,2,0,0,0,4,0,1,0,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,0,0,4
413,70741,49,22,1.71,52,287,3012,-117.996535,33.654356,la,0,0,0,0,1,6,1,0,0,6,0,0,0,0,1,0,3,4,2.0,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,1,1,5
539,70741,48,22,1.61,58,392,3013,-117.991143,33.654399,la,0,0,0,0,0,2,1,0,1,9,0,0,0,0,1,0,5,3,3.0,1,1,1,1,1,1,2,2,3,6,6,7,6,6,5,5,5,5,3,2,1,1,1,1,7
750,81667,35,9,0.85,57,0,3014,-117.985751,33.654442,la,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
649,128235,22,36,1.26,59,0,3015,-117.980359,33.654485,la,0,0,0,0,0,2,0,0,1,20,0,0,1,0,0,4,8,0,0.0,0,0,0,0,0,0,1,2,5,9,10,11,11,11,11,9,8,4,0,0,0,0,0,0,11
597,128235,22,13,1.22,38,0,3016,-117.974968,33.654528,la,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2
499,152656,21,7,1.55,53,0,3017,-117.969576,33.65457,la,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0.0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,2
658,79929,21,47,2.0,57,0,3018,-117.964184,33.654612,la,2,0,0,0,5,3,3,0,6,17,0,0,0,0,1,3,4,3,1.0,1,1,1,1,1,2,2,3,4,5,8,9,10,10,10,10,10,9,8,3,3,2,2,1,11
775,79929,24,45,1.94,61,0,3019,-117.958792,33.654654,la,5,0,0,0,1,3,9,0,0,16,0,1,1,0,2,2,4,1,1.67,1,1,1,1,1,2,4,6,14,18,19,22,21,20,20,19,19,15,13,8,5,3,1,1,27
349,94688,20,8,1.39,56,0,3020,-117.9534,33.654696,la,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0.0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,3
696,68958,18,57,1.88,55,0,3021,-117.948008,33.654737,la,2,2,0,0,3,2,2,0,5,24,1,0,0,0,0,4,10,2,0.0,1,1,1,1,1,1,3,5,11,16,18,19,19,19,19,19,18,11,8,4,3,3,2,1,20
706,68958,20,13,1.5,49,0,3022,-117.942617,33.654779,la,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,4,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,67273,25,9,1.27,54,0,3023,-117.937225,33.65482,la,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1909,44611,33,5,1.33,65,0,3024,-117.931833,33.65486,la,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,3
2065,62841,47,14,1.12,62,0,3025,-117.926441,33.654901,la,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,3,2,0.0,1,1,1,1,1,1,2,2,6,7,7,7,7,7,7,7,7,5,3,3,2,2,1,1,7
1632,44662,57,39,1.59,77,0,3026,-117.921049,33.654941,la,1,0,0,0,2,4,0,0,1,11,0,1,0,0,0,3,16,0,1.5,3,3,3,3,3,3,3,4,8,18,22,22,22,22,22,22,23,18,13,11,6,5,3,3,24
1510,72000,47,42,1.36,68,0,3027,-117.915657,33.654981,la,0,0,1,0,0,0,19,0,1,14,0,0,4,0,0,1,2,0,0.0,1,1,1,1,1,1,3,3,4,9,9,9,9,9,9,9,9,6,4,2,2,1,1,1,9
1250,62500,43,97,1.9,79,0,3028,-117.910265,33.655021,la,3,0,1,2,6,5,12,0,4,40,0,0,2,0,0,4,16,2,1.67,4,4,4,5,5,5,6,13,22,33,38,38,38,38,38,39,35,18,11,9,9,8,6,5,41
822,66806,34,18,1.19,57,0,3029,-117.904873,33.655061,la,0,0,2,0,1,0,0,0,0,11,0,2,0,0,0,0,2,0,0.0,1,1,1,1,1,1,1,3,5,8,8,8,8,8,8,8,8,5,3,2,2,1,1,1,8
802,66806,23,25,1.17,56,0,3030,-117.899481,33.6551,la,1,0,0,0,1,0,2,0,1,16,0,0,0,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,2
789,107620,17,17,1.58,48,0,3031,-117.894089,33.655139,la,0,0,2,0,0,1,0,0,1,8,0,0,3,0,0,1,1,0,0.0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,0,0,0,2
155,130089,16,13,1.2,15,0,3032,-117.888697,33.655178,la,0,0,0,0,2,0,2,0,0,7,0,2,0,0,0,0,0,0,0.0,1,1,1,1,1,4,4,5,6,7,8,8,8,8,8,8,7,6,4,4,4,3,1,1,8
138,130089,18,10,0.9,23,0,3033,-117.883305,33.655217,la,0,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,2,2,0,0,0,0,0,0,4
190,130089,20,12,1.08,35,0,3034,-117.877913,33.655255,la,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,130089,32,20,1.34,35,0,3035,-117.872521,33.655293,la,1,1,1,0,3,1,0,0,0,12,0,0,0,0,0,0,1,0,0.0,1,1,1,1,1,1,1,3,7,8,9,9,9,9,9,8,8,5,4,3,2,2,1,1,9
330,81389,38,18,1.52,55,0,3036,-117.867129,33.655331,la,0,0,0,0,2,0,6,0,4,4,0,0,0,0,0,0,2,0,2.0,0,0,0,0,0,0,0,2,7,9,9,9,9,9,9,9,9,4,2,1,1,0,0,0,9
185,77536,32,148,1.4,38,0,3037,-117.861737,33.655369,la,2,0,0,0,26,0,2,0,57,50,0,0,0,0,0,7,4,0,0.0,5,5,5,5,5,6,6,8,17,37,38,38,38,38,38,38,38,11,9,7,6,5,5,5,38
199,77536,20,0,0.0,23,0,3038,-117.856345,33.655406,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,77536,18,11,1.41,26,0,3039,-117.850953,33.655444,la,0,0,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,2
1221,50179,33,19,1.06,50,0,3040,-117.845561,33.655481,la,0,0,3,0,0,0,0,0,0,12,0,2,0,0,0,0,0,2,0.0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1057,40223,36,7,0.0,47,0,3041,-117.840169,33.655517,la,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,1,1,1,1,1,1,1,1,2,5,5,5,5,2,2,2,2,2,2,2,1,1,1,1,5
683,40223,32,5,0.67,27,0,3042,-117.834777,33.655554,la,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,103083,27,9,1.0,28,0,3043,-117.829385,33.65559,la,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
319,103083,21,6,1.24,27,0,3044,-117.823993,33.655626,la,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
328,103083,22,1,0.0,29,0,3045,-117.818601,33.655662,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
408,119327,25,16,0.82,25,0,3046,-117.813209,33.655698,la,0,0,2,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
314,119327,19,1,0.0,22,0,3047,-117.807817,33.655733,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,109118,10,1,0.0,6,245,3048,-117.802425,33.655768,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,109118,29,6,0.64,12,0,3051,-117.786248,33.655872,la,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,142926,50,110,1.8,42,0,3052,-117.780856,33.655906,la,0,0,0,0,21,9,11,1,12,41,0,0,0,0,2,4,9,0,2.0,7,7,7,7,8,8,15,22,30,48,53,61,62,63,59,59,59,50,36,31,24,18,10,7,66
80,142926,60,11,1.64,52,0,3053,-117.775464,33.65594,la,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,3
143,87083,58,8,1.21,62,0,3054,-117.770072,33.655974,la,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0,2.0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,3
169,87083,49,1,0.0,53,0,3055,-117.76468,33.656007,la,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,87083,55,16,1.25,38,0,3056,-117.759287,33.656041,la,0,0,0,0,0,0,1,0,1,10,0,0,0,0,1,0,2,1,0.0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,3
176,87083,117,33,1.44,51,0,3057,-117.753895,33.656074,la,0,0,1,0,2,1,1,0,3,20,0,0,0,0,0,1,1,3,2.0,0,0,0,0,0,1,1,2,6,9,10,10,11,11,11,11,11,7,5,5,4,4,0,0,11
172,87083,133,191,1.41,55,155,3058,-117.748503,33.656106,la,0,0,0,0,30,10,4,0,47,92,0,0,0,0,2,1,3,2,2.14,5,5,5,5,5,6,8,11,39,64,66,74,77,77,77,76,75,36,26,23,20,16,9,6,79
59,36250,118,31,2.0,68,1,3059,-117.743111,33.656139,la,2,0,0,0,6,3,3,0,1,9,0,0,0,0,0,2,3,2,1.0,1,1,1,1,2,3,3,5,7,12,14,14,14,14,14,13,13,7,3,2,2,1,1,1,14
15,186442,85,195,1.23,66,0,3060,-117.737718,33.656171,la,0,0,0,0,15,5,7,0,10,132,0,0,0,0,0,14,8,4,2.0,4,4,4,4,4,4,5,15,34,50,51,52,52,52,52,52,48,27,12,6,4,4,4,4,53
11,186442,45,2,0.69,17,0,3061,-117.732326,33.656203,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,186442,26,2,0.69,15,0,3062,-117.726934,33.656235,la,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2
18,186442,48,66,1.06,75,1,3063,-117.721542,33.656267,la,0,0,0,0,2,2,0,0,6,47,0,0,0,0,0,1,6,2,2.0,0,0,0,0,0,0,0,2,11,22,22,21,19,19,18,17,17,4,2,2,2,2,1,0,22
110,129097,61,68,1.23,67,15,3064,-117.716149,33.656298,la,0,0,0,0,3,2,1,0,4,46,0,0,0,0,0,3,5,4,0.0,1,1,1,1,1,1,1,2,10,14,15,16,16,16,16,16,16,5,2,2,2,2,1,1,16
170,129097,62,20,1.52,59,0,3065,-117.710757,33.656329,la,0,0,0,0,2,0,2,0,0,9,0,0,0,0,0,1,2,4,0.0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,3
233,129097,44,49,1.8,64,18,3066,-117.705365,33.65636,la,0,0,0,0,0,8,3,0,0,18,0,1,1,0,1,6,8,3,1.5,0,0,0,0,1,2,4,7,10,15,19,22,22,22,21,21,20,18,11,9,6,4,1,0,22
511,150819,25,10,1.36,43,0,3067,-117.699973,33.656391,la,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
586,150819,19,14,0.9,51,0,3068,-117.69458,33.656421,la,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
895,61032,17,6,1.24,49,1,3069,-117.689188,33.656451,la,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,3,0,0,0,0,0,0,4
384,92946,15,2,0.69,16,0,3070,-117.683796,33.656481,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,99561,18,15,1.29,26,0,3071,-117.678403,33.656511,la,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,3,2,0.0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,3
1049,62669,23,10,0.94,34,3,3072,-117.673011,33.656541,la,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,2
296,133077,17,10,0.33,20,0,3073,-117.667619,33.65657,la,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
429,99758,14,9,1.15,32,0,3074,-117.662226,33.656599,la,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,2,0.0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2
541,128594,21,10,0.9,25,43,3075,-117.656834,33.656628,la,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0.0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3
591,128594,38,33,1.7,56,12,3076,-117.651442,33.656656,la,1,0,1,0,0,7,9,0,0,10,0,0,0,0,2,1,2,0,1.5,0,0,0,0,1,3,4,4,5,12,16,17,17,18,18,18,15,13,9,9,9,2,1,0,20
715,78438,36,14,1.73,45,15,3077,-117.646049,33.656684,la,1,0,0,0,0,3,0,0,1,5,0,0,0,0,2,1,1,0,1.33,0,0,0,0,0,0,0,3,4,6,9,10,10,10,10,10,10,8,7,5,4,3,0,0,10
534,136250,23,4,1.04,22,0,3078,-117.640657,33.656712,la,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
539,68836,32,32,1.55,46,34,3079,-117.635265,33.65674,la,1,0,1,0,2,6,6,0,0,14,0,0,0,0,0,0,2,0,1.5,0,0,0,0,0,1,2,5,5,11,13,17,17,16,15,15,15,15,7,5,4,1,1,0,17
527,68836,33,19,1.96,40,13,3080,-117.629872,33.656768,la,3,0,0,0,3,1,5,0,0,2,0,0,0,0,1,2,2,0,0.0,2,2,2,2,2,2,2,4,8,9,11,12,12,12,11,11,11,11,10,8,8,7,2,2,12
925,84423,20,23,0.74,34,6,3081,-117.62448,33.656795,la,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5,5,5,4,3,2,2,1,0,5
750,84423,15,5,0.5,39,0,3082,-117.619087,33.656822,la,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,138244,11,5,1.05,27,3,3083,-117.613695,33.656849,la,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
20,87303,5,7,1.48,8,96,3085,-117.60291,33.656902,la,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,2,2,1,1,1,1,0,3
88,59875,8,2,0.0,23,12,3086,-117.597518,33.656928,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
712,120556,15,9,0.68,35,0,3087,-117.592125,33.656954,la,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,69205,22,16,1.25,37,2,3088,-117.586733,33.65698,la,0,0,0,0,1,1,1,0,0,10,0,0,0,0,0,1,2,0,0.0,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,4
886,124573,23,14,1.45,44,20,3089,-117.58134,33.657006,la,0,0,1,0,1,0,0,0,1,8,0,1,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2
363,158370,13,16,1.49,44,0,3090,-117.575948,33.657031,la,0,0,0,0,2,0,1,0,0,4,0,1,0,0,0,1,7,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
322,158370,9,10,1.22,38,18,3091,-117.570555,33.657056,la,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
298,158370,7,4,0.69,32,0,3092,-117.565163,33.657081,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
230,158370,4,4,0.0,25,5,3093,-117.55977,33.657105,la,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
209,0,49,44,1.94,23,3663,3121,-118.007371,33.658777,la,0,0,0,0,5,4,2,1,5,14,0,0,0,0,2,8,3,0,2.0,1,1,1,1,1,1,1,5,10,13,22,25,25,25,26,26,24,21,19,16,14,6,3,1,27
599,70511,52,138,1.95,67,968,3122,-118.001979,33.658821,la,0,3,0,0,9,31,7,3,3,37,0,1,0,0,14,27,2,1,1.95,1,1,1,1,1,3,7,12,22,33,66,83,77,77,77,77,77,73,68,62,55,18,4,1,93
630,70741,41,6,1.24,60,0,3123,-117.996587,33.658865,la,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,2
703,70741,36,55,2.04,60,0,3124,-117.991195,33.658908,la,3,0,1,0,7,9,6,0,10,12,0,0,0,0,5,1,1,0,1.18,1,1,1,1,1,1,3,8,15,26,41,42,42,42,42,42,44,38,27,23,18,7,6,1,47
