population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
771,159417,12,0,0.0,61,0,23,-117.612008,33.417844,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,78875,18,9,1.74,67,0,24,-117.606631,33.41787,la,0,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,2,0,1.67,1,1,1,1,1,1,1,3,4,5,5,7,7,7,6,6,6,4,4,4,3,2,1,1,7
379,88913,18,7,0.96,48,0,25,-117.601253,33.417896,la,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0.0,1,1,1,1,1,1,3,4,6,6,6,6,5,5,4,4,4,3,2,2,2,2,1,1,6
260,101500,11,11,0.6,32,0,26,-117.595875,33.417922,la,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,2
117,0,3,4,0.56,17,0,27,-117.590498,33.417948,la,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,0,16,11,1.24,44,481,29,-117.622796,33.4223,la,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,1,2.0,1,1,1,1,1,1,1,2,3,5,6,7,7,7,6,6,5,4,3,3,3,1,1,1,7
1046,111442,20,0,0.0,60,0,30,-117.617418,33.422327,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,71511,22,7,1.55,66,0,31,-117.61204,33.422353,la,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0.0,0,0,0,0,0,0,1,2,3,4,4,5,5,5,5,5,5,4,2,2,0,0,0,0,5
262,59813,17,2,0.69,47,0,32,-117.606662,33.42238,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,101500,10,1,0.0,27,0,33,-117.601284,33.422406,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,101500,8,3,0.64,34,0,34,-117.595906,33.422432,la,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2
490,101500,3,3,0.64,12,0,35,-117.590528,33.422457,la,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,0,15,18,0.88,39,0,36,-117.628206,33.426782,la,0,0,0,0,2,0,0,0,1,13,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,2
869,77210,27,1,0.0,64,0,37,-117.622828,33.426809,la,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
813,55667,36,47,2.21,77,0,38,-117.61745,33.426836,la,1,1,3,0,3,6,2,0,7,10,0,0,0,0,4,6,4,0,2.0,1,1,1,1,1,1,2,4,7,12,21,29,30,30,29,28,27,25,15,11,10,6,3,1,33
450,71511,31,23,1.6,59,0,39,-117.612072,33.426863,la,0,0,0,0,4,7,0,0,0,5,0,0,1,0,1,0,5,0,1.5,0,0,0,0,1,2,4,6,7,12,12,15,14,14,13,12,11,10,8,5,5,3,0,0,15
195,59813,15,1,0.0,38,0,40,-117.606693,33.426889,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,101500,7,2,0.0,15,0,41,-117.601315,33.426915,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
102,101500,5,5,1.05,16,0,42,-117.595937,33.426941,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,0,20,17,1.28,26,0,44,-117.633617,33.431264,la,0,0,0,0,0,1,1,0,1,10,0,0,1,0,0,0,3,0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3
1493,75417,25,36,1.5,64,0,45,-117.628238,33.431292,la,0,0,2,0,2,0,0,0,2,16,0,1,1,0,0,1,11,0,0.0,0,0,0,0,0,0,2,2,4,7,7,7,7,7,7,7,7,5,2,2,1,1,0,0,7
1053,44952,30,22,1.89,75,0,46,-117.62286,33.431319,la,1,1,0,0,2,1,5,0,1,3,0,0,0,0,0,1,7,0,1.5,0,0,0,0,0,0,1,5,9,16,17,17,16,16,16,16,16,9,5,3,3,1,0,0,17
386,55667,31,48,2.11,69,0,47,-117.617482,33.431346,la,1,1,0,0,3,9,3,1,3,15,0,0,1,0,3,4,4,0,2.0,0,0,0,0,0,0,1,3,4,20,26,32,32,32,31,30,29,19,12,9,7,7,1,0,34
402,76736,22,12,1.59,46,0,48,-117.612103,33.431372,la,1,1,1,0,0,0,1,0,0,6,0,0,1,0,0,0,1,0,0.0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,3
183,108448,11,2,0.0,18,0,49,-117.606725,33.431399,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
132,101500,6,5,0.5,23,0,50,-117.601346,33.431425,la,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
560,0,12,5,1.33,21,0,54,-117.639028,33.435746,la,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
785,82188,26,51,2.17,52,283,55,-117.63365,33.435774,la,0,0,0,1,5,6,1,0,3,10,0,2,0,0,3,4,11,5,1.0,2,2,2,2,2,2,4,8,12,18,22,24,24,24,23,22,22,17,11,6,5,2,2,2,27
766,59978,34,35,1.87,75,12,56,-117.628271,33.435801,la,0,1,0,0,1,2,1,0,2,14,0,1,0,0,1,4,7,1,1.0,1,1,1,1,1,1,3,8,15,21,24,26,25,25,25,24,23,14,5,3,2,2,1,1,26
376,59978,27,2,0.0,57,0,57,-117.622892,33.435829,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
302,76736,19,1,0.0,52,0,58,-117.617514,33.435855,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,76736,12,0,0.0,54,0,59,-117.612135,33.435882,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,108448,8,0,0.0,39,0,60,-117.606756,33.435908,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,100278,7,3,0.64,13,0,61,-117.601377,33.435935,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
