,Unnamed: 0,population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant,retail,service,transportation,b_price,insta_like,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_people,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
55949,55949,319,73036,20,2,0.69,13,14,58727,-105.078571,39.61717,denver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,670,0,1,0,0,0,1,1,3,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,2,1,1,3
55950,55950,302,73036,21,30,1.34,50,0,58728,-105.072746,39.617174,denver,0,0,0,0,1,0,0,0,0,15,0,0,1,0,0,3,8,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55951,55951,228,86050,22,4,1.04,44,0,58729,-105.066921,39.617178,denver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55952,55952,199,86050,21,5,1.05,32,2,58730,-105.061096,39.617181,denver,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55953,55953,163,108250,15,2,0.69,10,0,58731,-105.055271,39.617184,denver,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55954,55954,138,108250,14,2,0.69,8,0,58732,-105.049445,39.617186,denver,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55955,55955,146,108250,21,4,1.04,20,6,58733,-105.04362,39.617189,denver,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,170,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
55956,55956,519,73750,25,11,0.99,36,0,58734,-105.037795,39.617191,denver,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55957,55957,689,73750,29,4,1.39,26,15,58735,-105.03197,39.617192,denver,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,457,0,0,0,0,2,1,1,0,0,3,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0,6,1,0,2
55958,55958,523,49536,48,3,0.64,21,67,58736,-105.026145,39.617194,denver,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,2576,8,3,5,3,4,7,3,6,3,2,2,4,1,1,3,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,8,0,1,0,3,25,3,0,2,1,8,1,0
