Unnamed: 0,population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant,retail,service,transportation,b_price,insta_like,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count,insta_advertising,insta_animal,insta_architecture,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_monochrome,insta_nature,insta_sky,insta_sports
46,5,39625,2,2,0.69,6,0,517,-79.44973082,39.74289893,pittsburg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,42656,2,2,0.69,8,0,530,-79.90474237,39.75258963,pittsburg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8,42656,2,3,1.1,9,0,627,-79.88132768,39.75687125,pittsburg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8,38611,2,1,0.0,6,0,628,-79.87549189,39.75681485,pittsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8,38611,2,2,0.0,11,0,631,-79.8579846,39.7566439,pittsburg,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,9,38611,2,3,1.1,5,0,735,-79.79371394,39.7604986,pittsburg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5,39625,2,7,1.55,8,0,795,-79.44359317,39.75633116,pittsburg,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
78,5,39625,2,4,1.04,6,0,796,-79.43775847,39.75625276,pittsburg,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
81,8,38611,5,1,0.0,11,0,826,-79.79947166,39.76506321,pittsburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,5,39625,1,1,0.0,5,0,976,-79.46673243,39.76564877,pittsburg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
